sharpe,cagr,max_drawdown
1.446525167273864,0.11572214341677722,-0.09138404503433971
2.048688125460413,0.19345645217111396,-0.08259381162129868
1.4270503574566704,0.11981282528406445,-0.1117489083837313
1.0877610589237463,0.0831481312812965,-0.07888786147726733
0.7623505193566841,0.05400995881690651,-0.07884202357180109
1.3426968998171533,0.11159598683299876,-0.08582830835137993
1.9718732968055397,0.13649207799002294,-0.07755845344510506
1.3476942050033258,0.1186017652806517,-0.09784182805327034
0.8134412488941382,0.061215198935632875,-0.11082406562494292
1.331179708711861,0.10836605881900452,-0.1069097651500544
1.9863502544263787,0.19382417514117867,-0.05975275369663083
1.1858329366673594,0.08152479616497965,-0.049210652936824
1.4626243565633699,0.12461627680960263,-0.08551984794769472
1.4365631625848254,0.1227699914958924,-0.07425570145839186
1.6078678888772018,0.13463769692076832,-0.14423093577244123
1.7732954569231048,0.15325001801511817,-0.10089585962952084
1.6854775891417009,0.14648345366587856,-0.06094947065536251
0.6284618497952719,0.046857613202328174,-0.15422889881172008
1.8916158644060412,0.17313248924907954,-0.06778162148406239
1.3867933332056184,0.11242540547108937,-0.07806106818321118
2.367552532182925,0.20038568562222148,-0.05492818247028077
1.0400389761838076,0.08407560151556104,-0.08689848888396429
2.190308053633643,0.16068889629598737,-0.058743741815992005
0.816227807840049,0.06473694478028746,-0.1098234705532563
1.9480889159015526,0.1728188367942205,-0.07034753771525205
1.609976229260632,0.12831058904337533,-0.05214323204043204
0.7348027816047704,0.0620033625344063,-0.10481891641631678
1.2946132317675163,0.09073732856027128,-0.08835031792727358
1.4009801318341502,0.1068125135481226,-0.10325039067264902
1.1337099436201932,0.09353056629897272,-0.09043063922494823
1.831868335277651,0.15540839974920906,-0.123122744480452
1.2643483003192177,0.10264334884058357,-0.07790307073880041
2.173032290898378,0.17198626601686828,-0.049665042785555835
1.0943272590913,0.08788386230785128,-0.10069918810741209
1.6459006891097325,0.12665301629547643,-0.10821571187156749
2.0830641111249673,0.1892302147991003,-0.058831676663358326
1.7315969247634735,0.14327823510219506,-0.0692619200394317
1.5576021787913656,0.12203117144850006,-0.08475173434616033
1.2420009699205992,0.09424279508566591,-0.07840776413064876
1.489705808627349,0.11113049035532874,-0.08023278496419353
1.2810070146504884,0.09178518234235011,-0.07505251584537277
1.0161450014761884,0.08081142059982005,-0.0825612470849814
1.8320238664793496,0.16231245783482673,-0.06905557882328514
1.4018499134851121,0.12657359836430948,-0.10066806619146841
1.1468780464878576,0.08104005333766984,-0.08916949527077832
0.7179212412459107,0.0505471140887761,-0.08104663524128795
1.2314169067107235,0.10841489730949516,-0.0863502383324502
2.276753680107659,0.2103835178488318,-0.10887774241518462
