simulation_id,method,sharpe,total_return,max_drawdown,win_rate,profit_factor,ic
1,execution_delay,0.32216797678104264,0.017495399999999935,-0.03270622466710419,0.3333333333333333,1.1543072297392052,-0.06262520029740914
2,execution_delay,0.16893245900887238,0.01763470000000001,-0.027006098410820974,0.3504273504273504,1.1372001219895498,-0.10465941467292862
3,execution_delay,-0.8777138403571547,-0.020588800000000046,-0.04137094677002332,0.2828282828282828,0.8468580711433167,-0.21118160901330735
4,execution_delay,0.16893245900887238,0.01763470000000001,-0.027006098410820974,0.3504273504273504,1.1372001219895498,-0.10465941467292862
5,shuffle,0.16893245900887227,0.01763509999999995,-0.027865341245422712,0.3504273504273504,1.13720012198955,-0.10465941467292861
6,execution_delay,0.32216797678104264,0.017495399999999935,-0.03270622466710419,0.3333333333333333,1.1543072297392052,-0.06262520029740914
7,bootstrap,-0.49151670207302567,-0.011447899999999936,-0.031093300000000018,0.36752136752136755,0.9121131790694263,0.013168456902909615
8,bootstrap,-0.40770157837430904,-0.013678999999999941,-0.03698716521306722,0.3418803418803419,0.8903575742565133,-0.17873215207361304
9,execution_delay,-0.8777138403571547,-0.020588800000000046,-0.04137094677002332,0.2828282828282828,0.8468580711433167,-0.21118160901330735
10,execution_delay,0.16893245900887238,0.01763470000000001,-0.027006098410820974,0.3504273504273504,1.1372001219895498,-0.10465941467292862
11,bootstrap,1.4903071546145787,0.07900449999999998,-0.02133339048338457,0.41025641025641024,1.7629849748808746,-0.18947333432912775
12,execution_delay,0.16893245900887238,0.01763470000000001,-0.027006098410820974,0.3504273504273504,1.1372001219895498,-0.10465941467292862
13,signal_noise,-0.6966645629714793,0.003408500000000058,-0.036178263086049725,0.3153846153846154,1.0282435783872201,-0.008778101033836538
14,shuffle,0.16893245900887252,0.01763509999999995,-0.0344972413491366,0.3504273504273504,1.13720012198955,-0.10465941467292857
15,execution_delay,0.16893245900887238,0.01763470000000001,-0.027006098410820974,0.3504273504273504,1.1372001219895498,-0.10465941467292862
16,bootstrap,-1.534165023172162,-0.03172419999999998,-0.06156538837170691,0.28205128205128205,0.7730445208811461,-0.10294370361359971
17,shuffle,0.16893245900887252,0.01763509999999995,-0.03199502332988056,0.3504273504273504,1.1372001219895498,-0.10465941467292857
18,shuffle,0.1689324590088726,0.01763509999999995,-0.03251259901499145,0.3504273504273504,1.1372001219895498,-0.10465941467292857
19,bootstrap,-0.5979047664758557,-0.01982029999999999,-0.04779839545931287,0.3418803418803419,0.8610974258560915,-0.06431780505077624
20,shuffle,0.16893245900887247,0.01763509999999995,-0.027825085515690164,0.3504273504273504,1.1372001219895498,-0.10465941467292857
21,bootstrap,0.21616813680000396,0.03305649999999994,-0.051441821396539245,0.36752136752136755,1.2399873096723093,0.016580407544656613
