Date,Open,High,Low,Close,Volume
2020-10-01,279.3299865722656,280.3500061035156,276.57000732421875,278.1400146484375,2968000
2020-10-02,274.1700134277344,278.510009765625,273.6000061035156,276.79998779296875,4771600
2020-10-05,278.7900085449219,281.5899963378906,278.75,281.510009765625,1862500
2020-10-06,282.5400085449219,283.5199890136719,277.239990234375,277.7200012207031,4364400
2020-10-07,280.2799987792969,283.6700134277344,280.2300109863281,282.9200134277344,2422600
2020-10-08,284.5199890136719,284.67999267578125,282.69000244140625,284.2900085449219,2148000
2020-10-09,285.6099853515625,286.80999755859375,284.4100036621094,285.92999267578125,2549100
2020-10-12,286.95001220703125,289.6099853515625,286.67999267578125,288.4599914550781,2534800
2020-10-13,287.6600036621094,288.1099853515625,286.0199890136719,286.739990234375,2430600
2020-10-14,287.2200012207031,287.95001220703125,284.5799865722656,285.1300048828125,2264000
2020-10-15,282.0299987792969,285.3999938964844,281.6600036621094,285.0400085449219,3128000
2020-10-16,286.239990234375,288.3699951171875,285.8900146484375,285.9700012207031,2409300
2020-10-19,286.6400146484375,287.05999755859375,281.2799987792969,282.0299987792969,2837600
2020-10-20,283.1600036621094,285.6600036621094,282.25,282.95001220703125,3339000
2020-10-21,282.5400085449219,284.4700012207031,281.8299865722656,281.9700012207031,2907100
2020-10-22,282.1000061035156,284.1600036621094,280.29998779296875,283.6499938964844,2324200
2020-10-23,284.45001220703125,284.5400085449219,281.510009765625,283.3399963378906,2161000
2020-10-26,280.1400146484375,280.3900146484375,273.70001220703125,277.0,5140600
2020-10-27,276.95001220703125,277.07000732421875,274.6000061035156,274.6600036621094,3029800
2020-10-28,269.0,270.75,265.0199890136719,265.4800109863281,5815200
2020-10-29,265.1300048828125,268.94000244140625,262.80999755859375,266.5899963378906,5479400
2020-10-30,265.0299987792969,266.32000732421875,261.4100036621094,265.05999755859375,5271200
2020-11-02,268.8999938964844,270.5,266.92999267578125,269.20001220703125,5062900
2020-11-03,272.6600036621094,276.42999267578125,272.20001220703125,274.6499938964844,4343000
2020-11-04,275.8999938964844,283.05999755859375,275.55999755859375,278.510009765625,6766400
2020-11-05,282.2900085449219,284.9599914550781,282.07000732421875,283.9100036621094,4316200
2020-11-06,283.95001220703125,284.3800048828125,281.8900146484375,283.2200012207031,3078200
2020-11-09,298.6099853515625,299.489990234375,291.3900146484375,291.7200012207031,10839300
2020-11-10,293.29998779296875,294.9599914550781,291.3999938964844,294.510009765625,4354500
2020-11-11,296.07000732421875,296.1400146484375,292.92999267578125,294.1099853515625,2910400
2020-11-12,292.2200012207031,293.32000732421875,289.19000244140625,291.04998779296875,4361900
2020-11-13,292.9700012207031,295.9200134277344,292.4200134277344,295.1499938964844,3090400
2020-11-16,299.2799987792969,300.0799865722656,297.57000732421875,299.9800109863281,4615000
2020-11-17,297.30999755859375,299.1499938964844,295.6000061035156,298.30999755859375,4049200
2020-11-18,299.20001220703125,299.75,294.760009765625,294.760009765625,3566400
2020-11-19,294.05999755859375,295.80999755859375,292.8999938964844,295.3299865722656,3266600
2020-11-20,294.2200012207031,294.5899963378906,292.20001220703125,292.5299987792969,3090200
2020-11-23,294.260009765625,296.6499938964844,293.4800109863281,295.8900146484375,2855600
2020-11-24,298.94000244140625,301.1099853515625,298.29998779296875,300.42999267578125,4022700
2020-11-25,299.95001220703125,300.0400085449219,298.04998779296875,298.739990234375,2629200
2020-11-27,299.44000244140625,300.20001220703125,298.1700134277344,299.239990234375,1518000
2020-11-30,297.5199890136719,297.79998779296875,294.75,296.6199951171875,4159300
2020-12-01,299.7300109863281,301.010009765625,298.17999267578125,298.44000244140625,2841100
