Date,Open,High,Low,Close,Volume
2019-04-04,176.02000427246094,178.0,175.52999877929688,176.02000427246094,17847700
2019-04-05,176.8800048828125,177.0,175.10000610351562,175.72000122070312,9594100
2019-04-08,175.2100067138672,175.5,174.22999572753906,174.92999267578125,7297400
2019-04-09,175.6199951171875,179.19000244140625,175.5500030517578,177.5800018310547,19751000
2019-04-10,178.17999267578125,178.7899932861328,176.5399932861328,177.82000732421875,11701500
2019-04-11,178.24000549316406,178.39999389648438,177.0,177.50999450683594,8071000
2019-04-12,178.0,179.6300048828125,177.9499969482422,179.10000610351562,12329800
2019-04-15,178.5,180.5,176.8699951171875,179.64999389648438,10834800
2019-04-16,179.0,180.1699981689453,178.3000030517578,178.8699951171875,11215200
2019-04-17,179.60000610351562,180.74000549316406,178.36000061035156,178.77999877929688,9973700
2019-04-18,178.8000030517578,178.8800048828125,177.33999633789062,178.27999877929688,11655600
2019-04-22,178.25,181.6699981689453,178.25,181.44000244140625,13389900
2019-04-23,182.74000549316406,184.22000122070312,181.47999572753906,183.77999877929688,19954800
2019-04-24,184.49000549316406,185.13999938964844,181.64999389648438,182.5800018310547,37289900
2019-04-25,196.97999572753906,198.47999572753906,192.1199951171875,193.25999450683594,54148800
2019-04-26,192.5,192.89999389648438,189.08999633789062,191.49000549316406,22075000
2019-04-29,190.9499969482422,195.41000366210938,190.64999389648438,194.77999877929688,19641300
2019-04-30,194.19000244140625,197.38999938964844,192.27999877929688,193.39999389648438,23494700
2019-05-01,194.77999877929688,196.17999267578125,193.00999450683594,193.02999877929688,15996600
2019-05-02,193.0,194.0,189.75,192.52999877929688,13209500
2019-05-03,194.3800048828125,196.16000366210938,193.7100067138672,195.47000122070312,14575400
2019-05-06,191.24000549316406,194.27999877929688,190.5500030517578,193.8800048828125,13994900
2019-05-07,192.5399932861328,192.89999389648438,187.85000610351562,189.77000427246094,16253000
2019-05-08,189.38999938964844,190.72000122070312,188.5500030517578,189.5399932861328,12505700
2019-05-09,187.1999969482422,189.77000427246094,186.25999450683594,188.64999389648438,12967000
2019-05-10,188.25,190.0,184.58999633789062,188.33999633789062,12578500
2019-05-13,183.5,185.42999267578125,180.83999633789062,181.5399932861328,16833300
2019-05-14,182.52000427246094,183.49000549316406,178.10000610351562,180.72999572753906,17628100
2019-05-15,180.4199981689453,187.27999877929688,180.02000427246094,186.27000427246094,16746900
2019-05-16,185.0500030517578,188.5800018310547,185.0500030517578,186.99000549316406,12953100
2019-05-17,184.83999633789062,187.5800018310547,184.27999877929688,185.3000030517578,10485400
2019-05-20,181.8800048828125,184.22999572753906,181.3699951171875,182.72000122070312,10352000
2019-05-21,184.57000732421875,185.6999969482422,183.88999938964844,184.82000732421875,7502800
2019-05-22,184.72999572753906,186.74000549316406,183.61000061035156,185.32000732421875,9213800
2019-05-23,182.4199981689453,183.89999389648438,179.6699981689453,180.8699951171875,12768800
2019-05-24,182.3300018310547,183.6300048828125,180.8300018310547,181.05999755859375,8807700
2019-05-28,181.5399932861328,184.7100067138672,181.4499969482422,184.30999755859375,14843300
2019-05-29,183.5,184.55999755859375,181.35000610351562,182.19000244140625,12797700
2019-05-30,183.0800018310547,183.47999572753906,180.88999938964844,183.00999450683594,8581500
2019-05-31,180.27999877929688,180.5399932861328,177.16000366210938,177.47000122070312,15226500
2019-06-03,175.0,175.0500030517578,161.00999450683594,164.14999389648438,56059600
2019-06-04,163.7100067138672,168.27999877929688,160.83999633789062,167.5,46044300
2019-06-05,167.47999572753906,168.72000122070312,164.6300048828125,168.1699981689453,19758300
2019-06-06,168.3000030517578,169.6999969482422,167.22999572753906,168.3300018310547,12446400
2019-06-07,170.1699981689453,173.8699951171875,168.83999633789062,173.35000610351562,16917300
2019-06-10,174.75,177.86000061035156,173.8000030517578,174.82000732421875,14767900
2019-06-11,178.47999572753906,179.97999572753906,176.7899932861328,178.10000610351562,15266600
2019-06-12,178.3800048828125,179.27000427246094,172.8800048828125,175.0399932861328,17699800
