Date,Open,High,Low,Close,Volume
2020-04-02,105.72000122070312,110.38999938964844,104.56999969482422,107.66999816894531,43774200
2020-04-03,106.58999633789062,108.0,102.5999984741211,104.62000274658203,42189200
2020-04-06,109.08999633789062,113.33999633789062,109.0199966430664,112.62999725341797,48708100
2020-04-07,116.87999725341797,118.63999938964844,112.38999938964844,112.91999816894531,57546100
2020-04-08,114.87999725341797,119.23999786376953,113.29000091552734,118.06999969482422,52822300
2020-04-09,121.91999816894531,124.61000061035156,121.33000183105469,123.72000122070312,69528600
2020-04-13,122.8499984741211,123.51000213623047,119.12000274658203,120.37000274658203,40198200
2020-04-14,123.9000015258789,124.87999725341797,121.30000305175781,122.80999755859375,35089700
2020-04-15,117.86000061035156,119.11000061035156,116.66000366210938,117.80000305175781,34809900
2020-04-16,118.08999633789062,118.41999816894531,114.55999755859375,116.91000366210938,49501300
2020-04-17,121.9000015258789,122.72000122070312,120.05999755859375,122.05999755859375,46250200
2020-04-20,119.58999633789062,122.9000015258789,119.04000091552734,120.62000274658203,36700500
2020-04-21,117.41999816894531,119.23999786376953,116.4800033569336,117.73999786376953,31608900
2020-04-22,120.31999969482422,120.98999786376953,118.7699966430664,119.16999816894531,24333800
2020-04-23,120.11000061035156,122.9000015258789,119.68000030517578,120.33999633789062,38571200
2020-04-24,121.52999877929688,123.31999969482422,120.08999633789062,122.41000366210938,27147500
2020-04-27,123.94999694824219,128.44000244140625,123.86000061035156,127.26000213623047,39021300
2020-04-28,131.1199951171875,131.4600067138672,127.27999877929688,129.11000061035156,47292700
2020-04-29,133.49000549316406,136.85000610351562,131.8800048828125,135.4600067138672,50390500
2020-04-30,131.89999389648438,132.94000244140625,130.13999938964844,130.30999755859375,43727500
2020-05-01,127.1500015258789,127.45999908447266,123.29000091552734,125.13999938964844,43352000
2020-05-04,123.5999984741211,125.9000015258789,122.25,125.68000030517578,28498200
2020-05-05,128.07000732421875,129.9199981689453,126.0999984741211,126.6500015258789,31209400
2020-05-06,127.48999786376953,128.1999969482422,125.0,125.72000122070312,29836800
2020-05-07,127.38999938964844,128.5,126.55000305175781,127.44000244140625,27493000
2020-05-08,130.16000366210938,132.75,129.19000244140625,132.36000061035156,32122900
2020-05-11,130.41000366210938,132.9499969482422,129.3300018310547,131.6999969482422,33983200
2020-05-12,132.25999450683594,132.2899932861328,126.83999633789062,126.97000122070312,44275300
2020-05-13,125.6500015258789,126.08000183105469,120.41000366210938,122.72000122070312,58719300
2020-05-14,119.97000122070312,123.2699966430664,117.18000030517578,123.12000274658203,55904300
2020-05-15,122.01000213623047,125.52999877929688,121.45999908447266,125.08000183105469,40236600
2020-05-18,131.4499969482422,133.38999938964844,130.8300018310547,132.67999267578125,46981100
2020-05-19,132.22000122070312,133.4499969482422,130.05999755859375,130.05999755859375,30270000
2020-05-20,132.72999572753906,134.97999572753906,132.3800048828125,134.0,35901300
2020-05-21,134.0500030517578,135.05999755859375,132.5800018310547,134.24000549316406,32716500
2020-05-22,134.6699981689453,135.0500030517578,133.02000427246094,134.88999938964844,24035200
2020-05-26,140.08999633789062,140.3800048828125,134.99000549316406,138.77999877929688,36971000
