Date,Open,High,Low,Close,Volume
2019-04-04,91.03250122070312,91.4375,90.20999908447266,90.94300079345703,72478000
2019-04-05,91.44999694824219,91.92900085449219,91.2594985961914,91.86399841308594,72810000
2019-04-08,91.6614990234375,92.51000213623047,91.25550079345703,92.49299621582031,75056000
2019-04-09,92.27449798583984,92.65450286865234,91.58899688720703,91.79199981689453,74288000
2019-04-10,92.05000305175781,92.4000015258789,91.44049835205078,92.36650085449219,59280000
2019-04-11,92.43499755859375,92.49749755859375,92.0155029296875,92.20349884033203,53096000
2019-04-12,92.41999816894531,92.57499694824219,92.06500244140625,92.15299987792969,62288000
2019-04-15,92.0999984741211,92.34249877929688,90.94499969482422,92.24349975585938,74488000
2019-04-16,92.56749725341797,93.4885025024414,92.4000015258789,93.1520004272461,60892000
2019-04-17,93.64949798583984,93.82350158691406,93.02200317382812,93.24099731445312,57870000
2019-04-18,93.43949890136719,93.54100036621094,92.9739990234375,93.08450317382812,54998000
2019-04-22,92.7699966430664,94.4209976196289,92.28199768066406,94.3655014038086,67476000
2019-04-23,94.55999755859375,96.46299743652344,94.47899627685547,96.1884994506836,92808000
2019-04-24,96.25,96.4844970703125,94.90799713134766,95.0875015258789,73516000
2019-04-25,95.8499984741211,96.12249755859375,95.0155029296875,95.11250305175781,121982000
2019-04-26,96.44999694824219,97.55000305175781,94.9000015258789,97.53150177001953,168652000
2019-04-29,97.44999694824219,97.81700134277344,96.70449829101562,96.92150115966797,80426000
2019-04-30,96.50499725341797,96.7854995727539,95.34750366210938,96.32599639892578,70120000
2019-05-01,96.65450286865234,97.18199920654297,95.52749633789062,95.57599639892578,62340000
2019-05-02,95.66649627685547,96.07749938964844,94.09349822998047,95.04100036621094,79258000
2019-05-03,97.44999694824219,98.22000122070312,96.80000305175781,98.12300109863281,127632000
2019-05-06,95.89900207519531,97.94999694824219,95.5250015258789,97.52749633789062,108356000
2019-05-07,96.99949645996094,97.45500183105469,95.16899871826172,96.05000305175781,118042000
2019-05-08,95.94349670410156,96.76850128173828,95.5,95.88849639892578,81572000
2019-05-09,95.0,95.47000122070312,93.80000305175781,94.99349975585938,106166000
2019-05-10,94.9000015258789,95.18949890136719,92.80000305175781,94.4990005493164,114360000
2019-05-13,91.8280029296875,92.3270034790039,90.9000015258789,91.13400268554688,115668000
2019-05-14,91.9749984741211,92.62200164794922,90.7874984741211,92.00599670410156,92582000
2019-05-15,91.39749908447266,93.72149658203125,91.1500015258789,93.55750274658203,93852000
2019-05-16,94.2969970703125,95.87550354003906,94.114501953125,95.37850189208984,94156000
2019-05-17,94.65249633789062,95.52649688720703,93.36650085449219,93.44999694824219,94732000
2019-05-20,92.6344985961914,93.38899993896484,91.7770004272461,92.94850158691406,75964000
2019-05-21,93.739501953125,93.94999694824219,92.30000305175781,92.8759994506836,80102000
2019-05-22,92.58899688720703,93.57450103759766,92.55000305175781,92.98400115966797,58732000
2019-05-23,91.82949829101562,92.19999694824219,90.20999908447266,90.77400207519531,88486000
2019-05-24,91.79450225830078,92.08799743652344,90.89250183105469,91.16400146484375,67394000
2019-05-28,91.63749694824219,92.4635009765625,91.36750030517578,91.82150268554688,64000000
2019-05-29,91.15599822998047,91.5,90.37650299072266,90.95950317382812,85580000
2019-05-30,91.27449798583984,91.47350311279297,90.3915023803711,90.81600189208984,62938000
2019-05-31,89.50050354003906,89.77950286865234,88.63500213623047,88.75350189208984,92376000
2019-06-03,88.00050354003906,88.31449890136719,83.5999984741211,84.6344985961914,181974000
2019-06-04,84.96199798583984,86.54100036621094,84.04450225830078,86.47799682617188,113582000
2019-06-05,87.4800033569336,87.5999984741211,85.76249694824219,86.92500305175781,84796000
2019-06-06,86.885498046875,88.0,86.30650329589844,87.71800231933594,73786000
2019-06-07,88.18499755859375,90.3125,87.97450256347656,90.20149993896484,96164000
2019-06-10,91.0999984741211,94.24349975585938,90.9000015258789,93.03150177001953,107420000
2019-06-11,94.1624984741211,94.68499755859375,92.9000015258789,93.18499755859375,80854000
2019-06-12,92.6989974975586,93.25,92.21900177001953,92.76599884033203,53566000
2019-06-13,93.33599853515625,94.15450286865234,93.11100006103516,93.51499938964844,55916000
2019-06-14,93.19999694824219,93.80000305175781,92.94999694824219,93.4834976196289,57024000
2019-06-17,93.82499694824219,94.78450012207031,93.77249908447266,94.30149841308594,52686000
2019-06-18,95.06749725341797,96.08350372314453,94.989501953125,95.06849670410156,77914000
2019-06-19,95.39199829101562,95.97899627685547,94.62349700927734,95.43949890136719,57906000
2019-06-20,96.66649627685547,96.76000213623047,95.29000091552734,95.90950012207031,64344000
2019-06-21,95.80500030517578,96.29750061035156,95.37899780273438,95.56500244140625,78672000
2019-06-24,95.63300323486328,95.84300231933594,95.06500244140625,95.69499969482422,45660000
2019-06-25,95.59200286865234,95.81950378417969,93.62100219726562,93.91349792480469,60246000
2019-06-26,94.6240005493164,95.19000244140625,94.36599731445312,94.8915023803711,48838000
2019-06-27,95.0999984741211,95.56199645996094,94.9020004272461,95.21399688720703,42834000
2019-06-28,95.45500183105469,95.64700317382812,94.19999694824219,94.68150329589844,60748000
2019-07-01,96.14900207519531,96.49099731445312,95.73300170898438,96.1094970703125,63842000
2019-07-02,95.96900177001953,96.739501953125,95.33149719238281,96.71549987792969,52918000
2019-07-03,96.79450225830078,97.07949829101562,96.5250015258789,96.94999694824219,33806000
2019-07-05,96.43000030517578,97.29499816894531,96.26499938964844,97.14550018310547,52568000
2019-07-08,96.70600128173828,97.80000305175781,96.4124984741211,97.61599731445312,57668000
2019-07-09,97.38999938964844,99.50050354003906,97.17400360107422,99.41500091552734,86914000
2019-07-10,99.82550048828125,101.24700164794922,99.7699966430664,100.87049865722656,98638000
2019-07-11,101.28099822998047,101.79000091552734,99.76499938964844,100.05349731445312,86356000
2019-07-12,100.41349792480469,100.8499984741211,100.19349670410156,100.55000305175781,50186000
2019-07-15,101.06999969482422,101.1449966430664,100.07749938964844,101.04949951171875,59626000
2019-07-16,100.52899932861328,101.31600189208984,100.06099700927734,100.49500274658203,52364000
2019-07-17,100.35250091552734,100.5999984741211,99.60150146484375,99.60150146484375,51176000
2019-07-18,99.00050354003906,99.375,97.57749938964844,98.8949966430664,69738000
2019-07-19,99.56050109863281,99.80000305175781,98.11150360107422,98.22599792480469,63712000
2019-07-22,98.55699920654297,99.44999694824219,97.91300201416016,99.28150177001953,58000000
2019-07-23,99.79949951171875,99.8895034790039,98.65650177001953,99.72450256347656,54070000
2019-07-24,98.46499633789062,100.06500244140625,98.29350280761719,100.04049682617188,52626000
2019-07-25,100.05000305175781,100.05999755859375,98.63600158691406,98.69100189208984,82730000
2019-07-26,97.0999984741211,97.54499816894531,96.22550201416016,97.15249633789062,98542000
2019-07-29,96.5,96.61150360107422,94.5270004272461,95.62249755859375,89864000
2019-07-30,94.55599975585938,95.49449920654297,94.17400360107422,94.92649841308594,58218000
2019-07-31,94.90550231933594,94.97750091552734,92.47200012207031,93.33899688720703,89414000
2019-08-01,93.58599853515625,94.89600372314453,92.20050048828125,92.76599884033203,94266000
2019-08-02,92.25350189208984,92.31800079345703,90.4010009765625,91.16200256347656,99124000
2019-08-05,88.51100158691406,89.43350219726562,87.43900299072266,88.25650024414062,121164000
2019-08-06,89.61150360107422,89.6884994506836,87.66999816894531,89.3915023803711,101406000
2019-08-07,88.69950103759766,89.94650268554688,87.8499984741211,89.66999816894531,90538000
2019-08-08,90.30000305175781,91.71299743652344,89.90550231933594,91.64450073242188,74024000
2019-08-09,91.44750213623047,91.55449676513672,90.11100006103516,90.37899780273438,57596000
2019-08-12,89.79949951171875,90.04900360107422,88.8499984741211,89.24600219726562,58110000
2019-08-13,89.1500015258789,91.58699798583984,89.0,91.21700286865234,79880000
2019-08-14,89.65049743652344,89.78250122070312,87.86100006103516,88.14800262451172,97872000
2019-08-15,89.09950256347656,89.4000015258789,88.0979995727539,88.80599975585938,75182000
2019-08-16,89.64450073242188,90.14550018310547,89.22750091552734,89.62850189208984,60360000
2019-08-19,90.90399932861328,91.30000305175781,90.63050079345703,90.80599975585938,56326000
2019-08-20,90.7249984741211,90.84100341796875,89.99400329589844,90.06900024414062,38590000
2019-08-21,90.96949768066406,91.47899627685547,90.75,91.177001953125,40636000
2019-08-22,91.4000015258789,91.47049713134766,90.00499725341797,90.23300170898438,53070000
2019-08-23,89.65149688720703,90.24500274658203,87.2614974975586,87.48100280761719,105416000
2019-08-26,88.34549713134766,88.5,87.17549896240234,88.44349670410156,61600000
