date,ic_daily,rolling_ic,n_names,forward_trading_days,below_threshold,equity,ret,rolling_sharpe
2026-03-24,0.229565,,24.0,1.0,False,100000.0,,
2026-03-25,-0.414221,,150.0,1.0,False,99285.42,-0.00714579999999998,
2026-03-26,-0.021207,,320.0,1.0,False,97114.09,-0.0218695756134184,
2026-03-31,,,,,,97113.78,-3.1921217611419195e-06,
