ticker,score,target_weight,target_value
VRT,2.0706087338221693,0.1,10000.0
VLO,1.87614518416051,0.1,10000.0
CF,1.5756893080571457,0.1,10000.0
QCOM,1.4646169807305487,0.1,10000.0
ODFL,1.455604665532242,0.1,10000.0
