feature,var_mean,var_std,combined_var
rolling_vol_60,0.7222484543085711,0.112697489716497,0.834945944025068
trend_score,0.6568762707385783,0.08606806952161279,0.7429443402601912
rolling_vol_20,0.4078339859895414,0.09192603929302719,0.4997600252825686
ma_crossover,0.23956695949733098,0.15777807161983518,0.3973450311171661
rolling_vol_10,0.2697583922739544,0.07223027460355504,0.3419886668775094
rolling_vol_5,0.17026991689031779,0.070642830622848,0.24091274751316577
vol_of_vol_20,0.1532825953116253,0.0718563871899613,0.2251389825015866
f_trend,0.15367392496692156,0.03157860347977274,0.1852525284466943
momentum_6m,0.03101074141136649,0.008521438992828116,0.03953218040419461
cs_momentum_raw,0.02892372693197995,0.010046291350404258,0.03897001828238421
momentum_3m,0.008140952061802735,0.0008482008049463035,0.008989152866749037
rolling_corr_market_20,0.006143656248444387,0.002636515103693331,0.008780171352137718
confidence_mult,0.007248032130871978,0.0010744587005924492,0.008322490831464427
relative_volume,0.0023471920543235445,0.00445606153898773,0.006803253593311275
volume_zscore,0.0030336472027189146,0.0005427254021685058,0.0035763726048874205
ret_20d,0.0008811271192886596,0.00012613453910016736,0.001007261658388827
jump_indicator,0.00014115677932700313,0.0005350962627267123,0.0006762530420537155
ret_10d,0.0002519319172102496,8.971971624312644e-05,0.000341651633453376
sector_relative_strength,5.6384736814985524e-05,8.231345837744009e-05,0.00013869819519242562
ret_5d,6.913079835934936e-05,5.841776224050101e-05,0.00012754856059985037
daily_return,2.6146323703479898e-06,2.172930994057995e-05,2.434394231092794e-05
cs_momentum_percentile,0.0,2.5679065925163146e-33,2.5679065925163146e-33
f_social,0.0,0.0,0.0
f_regional,0.0,0.0,0.0
f_global,0.0,0.0,0.0
