ticker,signal,direction,signal_date,entry_date,exit_date,planned_exit_date,actual_exit_date,entry_price,exit_price,position_size,entry_book_equity,shares,return,pnl,adjusted_score,confidence,regime,entry_cost,exit_cost,total_cost,impact_entry_cost,gross_return,net_return,holding_days,planned_holding_days,actual_holding_days,exit_reason
PCG,Bullish,1,2019-04-25,2019-04-26,2019-05-01,2019-05-01,2019-05-01,23.05,22.3585,12888.01,107400.07,559.1327,-0.03,-386.75,1.406,Low,Bull,0.11,0.0,0.11,0.11,-0.03,-0.030008,5,5,5,stop_loss
EQT,Bullish,1,2019-04-25,2019-04-26,2019-05-02,2019-05-01,2019-05-02,20.4,19.788,7946.5,107399.96,389.5343,-0.03,-238.48,0.9792,Medium,Bull,0.08,0.0,0.08,0.08,-0.03,-0.03001,6,5,6,stop_loss
SLB,Bullish,1,2019-04-25,2019-04-29,2019-05-01,2019-05-01,2019-05-01,43.34,42.0398,6049.77,108117.2,139.5887,-0.03,-181.52,0.6339,Medium,Bull,0.02,0.0,0.03,0.02,-0.03,-0.030004,2,2,2,stop_loss
MO,Bullish,1,2019-04-25,2019-05-01,2019-05-07,2019-05-01,2019-05-07,54.52,52.8844,11829.57,107532.44,216.9767,-0.03,-354.95,0.5913,Medium,Bull,0.06,0.0,0.06,0.06,-0.03,-0.030005,6,0,6,stop_loss
BSX,Bullish,1,2019-04-25,2019-05-01,2019-05-10,2019-05-01,2019-05-10,37.11,36.58,12903.9,107532.52,347.7204,-0.014282,-184.37,-0.5955,Medium,Bull,0.08,0.0,0.08,0.08,-0.014282,-0.014288,9,0,9,expiry
FCX,Bullish,1,2019-04-25,2019-05-02,2019-05-09,2019-05-01,2019-05-09,11.55,11.2035,2633.31,106484.67,227.9923,-0.03,-79.01,0.5504,Low,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030003,7,-1,7,stop_loss
DVN,Bullish,1,2019-05-02,2019-05-03,2019-05-10,2019-05-08,2019-05-10,31.14,31.31,5241.37,107721.92,168.3165,0.005459,28.59,0.7482,Low,Bull,0.03,0.0,0.03,0.03,0.005459,0.005454,7,5,7,expiry
F,Bullish,1,2019-05-02,2019-05-03,2019-05-10,2019-05-08,2019-05-10,10.37,10.38,6957.74,107721.95,670.9489,0.000964,6.68,0.7741,Low,Bull,0.03,0.0,0.03,0.03,0.000964,0.00096,7,5,7,expiry
CPRT,Bullish,1,2019-05-02,2019-05-03,2019-05-10,2019-05-08,2019-05-10,16.74,16.7175,12925.56,107713.02,772.1364,-0.001344,-17.54,-0.5959,High,Bull,0.16,0.0,0.16,0.16,-0.001344,-0.001357,7,5,7,expiry
TSLA,Bullish,1,2019-05-02,2019-05-03,2019-05-10,2019-05-08,2019-05-10,16.2573,15.968,12926.64,107721.98,795.1265,-0.017797,-230.09,0.8195,Low,Bull,0.03,0.0,0.03,0.03,-0.017797,-0.017799,7,5,7,expiry
PCG,Bullish,1,2019-05-02,2019-05-03,2019-05-09,2019-05-08,2019-05-09,20.73,20.1081,12053.99,107722.08,581.4757,-0.03,-361.72,1.1691,Low,Bull,0.1,0.0,0.1,0.1,-0.03,-0.030009,6,5,6,stop_loss
INTC,Bullish,1,2019-05-02,2019-05-03,2019-05-08,2019-05-08,2019-05-08,51.08,49.5476,12436.65,107713.06,243.4739,-0.03,-373.14,0.6521,Medium,Bull,0.04,0.0,0.04,0.04,-0.03,-0.030003,5,5,5,stop_loss
SW,Bullish,1,2019-05-02,2019-05-03,2019-05-06,2019-05-08,2019-05-06,30.74,29.8178,12926.63,107721.9,420.5149,-0.03,-396.64,0.705,Low,Bull,8.84,0.0,8.84,8.84,-0.03,-0.030684,3,5,3,stop_loss
MS,Bullish,1,2019-05-02,2019-05-06,2019-05-09,2019-05-08,2019-05-09,46.97,45.5609,7731.87,108936.5,164.6129,-0.03,-231.99,0.5913,Medium,Bull,0.03,0.0,0.03,0.03,-0.03,-0.030004,3,2,3,stop_loss
GOOGL,Bullish,1,2019-05-02,2019-05-07,2019-05-10,2019-05-08,2019-05-10,59.2905,57.5118,11069.83,108669.64,186.7049,-0.03,-332.12,0.5737,Medium,Bull,0.03,0.0,0.03,0.02,-0.03,-0.030002,3,1,3,stop_loss
VTRS,Bullish,1,2019-05-02,2019-05-08,2019-05-13,2019-05-08,2019-05-13,21.59,20.9423,10895.08,106859.61,504.6353,-0.03,-326.94,-0.5644,High,Bull,0.09,0.0,0.09,0.09,-0.03,-0.030008,5,0,5,stop_loss
DAL,Bullish,1,2019-05-02,2019-05-09,2019-05-13,2019-05-08,2019-05-13,56.14,54.4558,11153.94,106128.18,198.6809,-0.03,-334.69,-0.5564,High,Bull,0.07,0.0,0.07,0.07,-0.03,-0.030007,4,-1,4,stop_loss
FISV,Bullish,1,2019-04-25,2019-05-09,2019-05-17,2019-05-01,2019-05-17,81.91,87.3,9307.91,106128.1,113.6359,0.065804,612.45,-0.5387,High,Bull,0.05,0.0,0.05,0.05,0.065804,0.065799,8,-8,8,expiry
NKE,Bullish,1,2019-04-25,2019-05-09,2019-05-17,2019-05-01,2019-05-17,82.21,84.57,4925.57,106128.11,59.9145,0.028707,141.38,-0.5427,High,Bull,0.02,0.0,0.02,0.01,0.028707,0.028704,8,-8,8,expiry
QCOM,Bullish,1,2019-05-09,2019-05-10,2019-05-17,2019-05-15,2019-05-17,83.38,81.5,4101.33,106637.89,49.1884,-0.022547,-92.48,0.6832,Low,Bull,0.01,0.0,0.01,0.01,-0.022547,-0.022549,7,5,7,expiry
O,Bullish,1,2019-05-09,2019-05-10,2019-05-17,2019-05-15,2019-05-17,65.2616,67.1221,7289.08,106638.0,111.6902,0.028508,207.74,0.8758,Medium,Bull,0.05,0.0,0.05,0.05,0.028508,0.028501,7,5,7,expiry
CSX,Bullish,1,2019-05-09,2019-05-10,2019-05-17,2019-05-15,2019-05-17,25.9733,26.1333,4948.83,106637.86,190.5349,0.00616,30.46,-0.5588,Medium,Bull,0.02,0.0,0.02,0.02,0.00616,0.006156,7,5,7,expiry
PCG,Bullish,1,2019-05-09,2019-05-10,2019-05-13,2019-05-15,2019-05-13,19.46,18.8762,4880.81,106637.88,250.8127,-0.03,-146.45,0.6757,Low,Bull,0.03,0.0,0.03,0.03,-0.03,-0.030005,3,5,3,stop_loss
CTSH,Bullish,1,2019-05-09,2019-05-10,2019-05-13,2019-05-15,2019-05-13,58.56,56.8032,10663.79,106637.94,182.1003,-0.03,-319.97,0.8054,Low,Bull,0.05,0.0,0.05,0.05,-0.03,-0.030005,3,5,3,stop_loss
AMD,Bullish,1,2019-05-09,2019-05-10,2019-05-13,2019-05-15,2019-05-13,27.03,26.2191,2132.76,106637.86,78.9033,-0.03,-63.99,-0.5962,Medium,Bull,0.0,0.0,0.0,0.0,-0.03,-0.030001,3,5,3,stop_loss
MCHP,Bullish,1,2019-05-02,2019-05-13,2019-05-17,2019-05-08,2019-05-17,42.865,41.579,2945.59,105172.85,68.7178,-0.03,-88.38,-0.5149,High,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030004,4,-5,4,stop_loss
HPQ,Bullish,1,2019-05-09,2019-05-13,2019-05-24,2019-05-15,2019-05-24,18.55,20.03,1955.67,105172.92,105.4272,0.079784,156.02,-0.5398,Medium,Bull,0.01,0.0,0.01,0.01,0.079784,0.07978,11,2,11,expiry
CRM,Bullish,1,2019-05-02,2019-05-13,2019-05-24,2019-05-08,2019-05-24,154.92,154.51,2470.34,105172.9,15.9459,-0.002647,-6.54,-0.5278,Medium,Bull,0.01,0.0,0.01,0.01,-0.002647,-0.002649,11,-5,11,expiry
AVGO,Bullish,1,2019-05-09,2019-05-13,2019-05-24,2019-05-15,2019-05-24,29.382,25.594,3667.7,105172.89,124.8281,-0.128922,-472.86,-0.5197,High,Bull,0.01,0.0,0.01,0.01,-0.128922,-0.128926,11,2,11,expiry
CTRA,Bullish,1,2019-05-02,2019-05-13,2019-05-24,2019-05-08,2019-05-24,25.8,25.7,3625.67,105172.88,140.5297,-0.003876,-14.07,0.5192,Medium,Bull,0.02,0.0,0.02,0.02,-0.003876,-0.003882,11,-5,11,expiry
AMD,Bullish,1,2019-05-16,2019-05-17,2019-05-20,2019-05-22,2019-05-20,27.69,26.8593,1901.52,105552.15,68.6719,-0.03,-57.05,-0.5546,Low,Bull,0.0,0.0,0.0,0.0,-0.03,-0.030001,3,5,3,stop_loss
EQT,Bullish,1,2019-05-16,2019-05-17,2019-05-22,2019-05-22,2019-05-22,20.85,20.2245,3975.16,105552.1,190.6551,-0.03,-119.29,0.4956,Medium,Bull,0.03,0.0,0.03,0.03,-0.03,-0.030008,5,5,5,stop_loss
COP,Bullish,1,2019-05-16,2019-05-17,2019-05-23,2019-05-22,2019-05-23,61.97,60.1109,4039.83,105552.17,65.19,-0.03,-121.21,-0.5739,Medium,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030003,6,5,6,stop_loss
MO,Bullish,1,2019-05-16,2019-05-17,2019-05-24,2019-05-22,2019-05-24,51.76,52.4,5308.78,105552.15,102.5653,0.012365,65.62,0.5277,Medium,Bull,0.02,0.0,0.02,0.02,0.012365,0.01236,7,5,7,expiry
BMY,Bullish,1,2019-05-09,2019-05-17,2019-05-24,2019-05-15,2019-05-24,46.69,46.81,4053.18,105552.12,86.8104,0.00257,10.41,-0.4992,Medium,Bull,0.01,0.0,0.01,0.01,0.00257,0.002567,7,-2,7,expiry
ABBV,Bullish,1,2019-04-25,2019-05-17,2019-05-24,2019-05-01,2019-05-24,78.53,80.06,4180.0,105552.07,53.228,0.019483,81.42,0.4947,High,Bull,0.02,0.0,0.02,0.01,0.019483,0.019479,7,-16,7,expiry
KKR,Bullish,1,2019-05-16,2019-05-20,2019-05-28,2019-05-22,2019-05-28,24.45,23.7165,2129.98,105445.22,87.1158,-0.03,-63.91,-0.4878,Medium,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030007,8,2,8,stop_loss
CCL,Bullish,1,2019-04-25,2019-05-22,2019-05-29,2019-05-01,2019-05-29,52.65,51.0705,3764.63,105656.97,71.5028,-0.03,-112.96,-0.4845,High,Bull,0.02,0.0,0.02,0.02,-0.03,-0.030005,7,-21,7,stop_loss
V,Bullish,1,2019-05-16,2019-05-23,2019-06-03,2019-05-22,2019-06-03,163.5,158.6,2555.49,105399.53,15.6299,-0.029969,-76.59,-0.4793,High,Bull,0.01,0.0,0.01,0.01,-0.029969,-0.029972,11,-1,11,expiry
ORCL,Bullish,1,2019-05-23,2019-05-24,2019-05-28,2019-05-30,2019-05-28,53.38,51.7786,4479.22,104657.39,83.9119,-0.03,-134.39,-0.5755,High,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030003,4,6,4,stop_loss
QCOM,Bullish,1,2019-05-23,2019-05-24,2019-05-28,2019-05-30,2019-05-28,68.93,66.8621,3076.66,104657.5,44.6346,-0.03,-92.3,1.1883,Low,Bull,0.0,0.0,0.0,0.0,-0.03,-0.030002,4,6,4,stop_loss
GOOGL,Bullish,1,2019-05-23,2019-05-24,2019-05-29,2019-05-30,2019-05-29,57.6,55.872,3550.18,104657.46,61.6351,-0.03,-106.51,0.7471,Medium,Bull,0.0,0.0,0.01,0.0,-0.03,-0.030001,5,6,5,stop_loss
GM,Bullish,1,2019-05-23,2019-05-24,2019-05-29,2019-05-30,2019-05-29,35.4,34.338,3582.63,104657.45,101.2043,-0.03,-107.49,0.703,Medium,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030004,5,6,5,stop_loss
OXY,Bullish,1,2019-05-23,2019-05-24,2019-05-29,2019-05-30,2019-05-29,53.35,51.7495,5814.81,104657.41,108.9936,-0.03,-174.46,0.5845,Medium,Bull,0.02,0.0,0.02,0.02,-0.03,-0.030003,5,6,5,stop_loss
WY,Bullish,1,2019-05-23,2019-05-24,2019-05-30,2019-05-30,2019-05-30,23.12,22.4264,2968.34,104657.44,128.3883,-0.03,-89.07,0.6669,Medium,Bull,0.02,0.0,0.02,0.02,-0.03,-0.030006,6,6,6,stop_loss
EQT,Bullish,1,2019-05-23,2019-05-24,2019-05-28,2019-05-30,2019-05-28,19.76,19.1672,3879.41,104657.49,196.3263,-0.03,-116.41,0.815,Low,Bull,0.03,0.0,0.03,0.03,-0.03,-0.030008,4,6,4,stop_loss
JNJ,Bullish,1,2019-04-25,2019-05-28,2019-05-29,2019-05-01,2019-05-29,139.0,134.83,7088.66,104205.84,50.9976,-0.03,-212.68,-0.468,High,Bull,0.02,0.0,0.02,0.02,-0.03,-0.030003,1,-27,1,stop_loss
FTNT,Bullish,1,2019-05-23,2019-05-28,2019-05-29,2019-05-30,2019-05-29,15.574,15.1068,2527.29,104206.05,162.2763,-0.03,-75.83,-0.5477,Medium,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030005,1,2,1,stop_loss
CPB,Bullish,1,2019-05-23,2019-05-28,2019-05-29,2019-05-30,2019-05-29,37.48,36.3556,8577.38,104205.96,228.8521,-0.03,-257.43,0.4854,High,Bull,0.11,0.0,0.11,0.11,-0.03,-0.030013,1,2,1,stop_loss
AES,Bullish,1,2019-05-23,2019-05-28,2019-05-30,2019-05-30,2019-05-30,16.5,16.005,7775.43,104206.04,471.2385,-0.03,-233.33,-0.5225,High,Bull,0.07,0.0,0.07,0.07,-0.03,-0.030009,2,2,2,stop_loss
MDT,Bullish,1,2019-05-02,2019-05-29,2019-06-10,2019-05-08,2019-06-10,91.18,97.75,1729.27,103109.36,18.9655,0.072055,124.6,-0.444,High,Bull,0.01,0.0,0.01,0.01,0.072055,0.072052,12,-21,12,expiry
CAG,Bullish,1,2019-05-02,2019-05-29,2019-05-30,2019-05-08,2019-05-30,28.17,27.3249,3715.12,103109.34,131.8823,-0.03,-111.48,0.4279,Medium,Bull,0.02,0.0,0.02,0.02,-0.03,-0.030006,1,-21,1,stop_loss
DELL,Bullish,1,2019-05-31,2019-06-03,2019-06-04,2019-06-06,2019-06-04,30.1064,29.2032,2103.18,102795.64,69.8581,-0.03,-63.11,0.4396,Low,Sideways,0.01,0.0,0.01,0.01,-0.03,-0.030005,1,3,1,stop_loss
HAL,Bullish,1,2019-05-31,2019-06-03,2019-06-10,2019-06-06,2019-06-10,21.35,21.76,1102.81,102795.42,51.6541,0.019204,21.17,0.3879,Medium,Sideways,0.0,0.0,0.0,0.0,0.019204,0.0192,7,3,7,expiry
NVDA,Bullish,1,2019-05-31,2019-06-03,2019-06-10,2019-06-06,2019-06-10,3.3977,3.7108,827.93,102795.45,243.6714,0.09212,76.27,-0.4066,Medium,Sideways,0.0,0.0,0.0,0.0,0.09212,0.092119,7,3,7,expiry
GIS,Bullish,1,2019-05-31,2019-06-03,2019-06-10,2019-06-06,2019-06-10,49.43,51.34,3584.01,102795.51,72.5068,0.03864,138.46,0.418,Medium,Sideways,0.02,0.0,0.02,0.02,0.03864,0.038634,7,3,7,expiry
MRK,Bullish,1,2019-05-31,2019-06-03,2019-06-10,2019-06-06,2019-06-10,76.0019,78.7023,2876.9,102795.44,37.8531,0.035531,102.21,-0.4046,High,Sideways,0.01,0.0,0.01,0.01,0.035531,0.035527,7,3,7,expiry
TSCO,Bullish,1,2019-05-31,2019-06-03,2019-06-10,2019-06-06,2019-06-10,20.142,21.428,1704.7,102795.63,84.6341,0.063847,108.83,-0.4306,Medium,Sideways,0.01,0.0,0.01,0.01,0.063847,0.06384,7,3,7,expiry
QCOM,Bullish,1,2019-05-31,2019-06-03,2019-06-10,2019-06-06,2019-06-10,67.09,70.54,1305.02,102795.69,19.4517,0.051423,67.11,0.7024,Low,Sideways,0.0,0.0,0.0,0.0,0.051423,0.051422,7,3,7,expiry
EQT,Bullish,1,2019-05-31,2019-06-03,2019-06-05,2019-06-06,2019-06-05,18.29,17.7413,3664.13,102795.68,200.3353,-0.03,-109.96,0.4582,Medium,Sideways,0.03,0.0,0.03,0.03,-0.03,-0.030009,2,3,2,stop_loss
SATS,Bullish,1,2019-05-31,2019-06-03,2019-06-10,2019-06-06,2019-06-10,34.5543,34.7083,1955.4,102795.6,56.5893,0.004456,8.68,0.4257,Medium,Sideways,0.03,0.0,0.03,0.03,0.004456,0.004439,7,3,7,expiry
FCX,Bullish,1,2019-06-07,2019-06-10,2019-06-17,2019-06-13,2019-06-17,10.44,10.74,1666.66,103925.07,159.6419,0.028736,47.89,0.5609,Medium,Bull,0.01,0.0,0.01,0.01,0.028736,0.028732,7,3,7,expiry
CPB,Bullish,1,2019-06-07,2019-06-10,2019-06-11,2019-06-13,2019-06-11,43.08,41.7876,6538.04,103925.24,151.7651,-0.03,-196.2,0.8532,Low,Bull,0.05,0.0,0.05,0.05,-0.03,-0.030008,1,3,1,stop_loss
GEN,Bullish,1,2019-06-07,2019-06-10,2019-06-11,2019-06-13,2019-06-11,19.21,18.6337,2806.1,103925.17,146.0751,-0.03,-84.2,0.6585,Low,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030005,1,3,1,stop_loss
EQT,Bullish,1,2019-06-07,2019-06-10,2019-06-11,2019-06-13,2019-06-11,17.62,17.0914,5084.09,103925.13,288.5406,-0.03,-152.57,0.6087,Medium,Bull,0.05,0.0,0.05,0.05,-0.03,-0.03001,1,3,1,stop_loss
DELL,Bullish,1,2019-06-07,2019-06-10,2019-06-12,2019-06-13,2019-06-12,27.78,26.9466,1718.47,103925.25,61.86,-0.03,-51.56,0.8627,Low,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030004,2,3,2,stop_loss
ABBV,Bullish,1,2019-06-07,2019-06-10,2019-06-17,2019-06-13,2019-06-17,77.46,78.65,4091.29,103925.15,52.8181,0.015363,62.84,0.6355,High,Bull,0.02,0.0,0.02,0.02,0.015363,0.015359,7,3,7,expiry
SCHW,Bullish,1,2019-06-14,2019-06-17,2019-06-19,2019-06-20,2019-06-19,41.03,39.7991,3776.84,103488.77,92.0506,-0.03,-113.32,0.7201,Medium,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030004,2,3,2,stop_loss
QCOM,Bullish,1,2019-06-14,2019-06-17,2019-06-24,2019-06-20,2019-06-24,69.09,73.16,3924.27,103488.96,56.7993,0.058909,231.17,0.9292,Low,Bull,0.01,0.0,0.01,0.01,0.058909,0.058907,7,3,7,expiry
CPB,Bullish,1,2019-06-14,2019-06-17,2019-06-18,2019-06-20,2019-06-18,42.22,40.9534,10348.89,103488.95,245.1183,-0.03,-310.56,0.8729,Low,Bull,0.09,0.0,0.09,0.09,-0.03,-0.030009,1,3,1,stop_loss
EQT,Bullish,1,2019-06-14,2019-06-17,2019-06-19,2019-06-20,2019-06-19,15.66,15.1902,7372.77,103488.86,470.8025,-0.03,-221.27,0.7853,Medium,Bull,0.08,0.0,0.08,0.08,-0.03,-0.030011,2,3,2,stop_loss
PCG,Bullish,1,2019-06-21,2019-06-24,2019-06-25,2019-06-27,2019-06-25,22.97,22.2809,2061.5,103074.89,89.7474,-0.03,-61.85,0.8806,Low,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030003,1,3,1,stop_loss
CPB,Bullish,1,2019-06-21,2019-06-24,2019-06-27,2019-06-27,2019-06-27,40.89,39.6633,10307.5,103074.98,252.0787,-0.03,-309.32,0.8987,Low,Bull,0.09,0.0,0.09,0.09,-0.03,-0.030009,3,3,3,stop_loss
BKR,Bullish,1,2019-06-28,2019-07-01,2019-07-02,2019-07-05,2019-07-02,24.99,24.2403,5106.55,102703.79,204.3439,-0.03,-153.23,0.7733,Medium,Bull,0.04,0.0,0.04,0.04,-0.03,-0.030007,1,4,1,stop_loss
PCG,Bullish,1,2019-06-28,2019-07-01,2019-07-02,2019-07-05,2019-07-02,23.11,22.4167,2054.07,102703.61,88.8824,-0.03,-61.63,0.6499,Low,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030003,1,4,1,stop_loss
APA,Bullish,1,2019-06-28,2019-07-01,2019-07-02,2019-07-05,2019-07-02,29.68,28.7896,2708.36,102703.57,91.2521,-0.03,-81.26,-0.5069,Medium,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030005,1,4,1,stop_loss
GILD,Bullish,1,2019-06-28,2019-07-01,2019-07-09,2019-07-05,2019-07-09,68.0,67.75,5582.09,102703.81,82.0896,-0.003677,-20.54,0.7741,High,Bull,0.02,0.0,0.02,0.02,-0.003677,-0.00368,8,4,8,expiry
MO,Bullish,1,2019-06-28,2019-07-01,2019-07-09,2019-07-05,2019-07-09,47.73,48.35,7999.7,102703.75,167.6032,0.01299,103.88,0.6599,Medium,Bull,0.04,0.0,0.04,0.04,0.01299,0.012985,8,4,8,expiry
KDP,Bullish,1,2019-06-28,2019-07-01,2019-07-09,2019-07-05,2019-07-09,29.12,29.39,10270.37,102703.72,352.6913,0.009272,95.12,0.6532,Medium,Bull,0.11,0.0,0.11,0.11,0.009272,0.009261,8,4,8,expiry
LYB,Bullish,1,2019-06-28,2019-07-01,2019-07-09,2019-07-05,2019-07-09,86.9,84.65,3618.46,102703.6,41.6393,-0.025892,-93.7,0.6269,Medium,Bull,0.01,0.0,0.01,0.01,-0.025892,-0.025895,8,4,8,expiry
CSX,Bullish,1,2019-06-28,2019-07-01,2019-07-09,2019-07-05,2019-07-09,26.1867,25.5667,4575.44,102703.59,174.724,-0.023676,-108.35,-0.5852,High,Bull,0.02,0.0,0.02,0.02,-0.023676,-0.02368,8,4,8,expiry
COP,Bullish,1,2019-07-08,2019-07-09,2019-07-16,2019-07-12,2019-07-16,59.98,59.75,7656.92,102383.91,127.6579,-0.003835,-29.4,0.4922,Medium,Bull,0.04,0.0,0.04,0.04,-0.003835,-0.003839,7,3,7,expiry
WDC,Bullish,1,2019-07-08,2019-07-09,2019-07-16,2019-07-12,2019-07-16,37.4301,38.9191,2363.22,102383.91,63.1368,0.039782,94.01,0.5122,Low,Bull,0.01,0.0,0.01,0.01,0.039782,0.039779,7,3,7,expiry
BKR,Bullish,1,2019-07-08,2019-07-09,2019-07-16,2019-07-12,2019-07-16,25.06,24.09,5415.52,102383.95,216.1023,-0.038707,-209.66,0.5445,Medium,Bull,0.04,0.0,0.04,0.04,-0.038707,-0.038714,7,3,7,expiry
NEM,Bullish,1,2019-07-08,2019-07-09,2019-07-16,2019-07-12,2019-07-16,38.02,38.69,10238.4,102384.01,269.2899,0.017622,180.37,0.5769,Medium,Bull,0.05,0.0,0.05,0.05,0.017622,0.017617,7,3,7,expiry
T,Bullish,1,2019-07-08,2019-07-09,2019-07-16,2019-07-12,2019-07-16,25.3701,25.3625,8232.79,102384.04,324.5079,-0.000298,-2.48,0.5804,High,Bull,0.03,0.0,0.03,0.03,-0.000298,-0.000301,7,3,7,expiry
BX,Bullish,1,2019-07-08,2019-07-09,2019-07-16,2019-07-12,2019-07-16,45.66,45.83,4146.69,102384.07,90.8166,0.003723,15.43,0.6195,Medium,Bull,0.01,0.0,0.01,0.01,0.003723,0.00372,7,3,7,expiry
GEN,Bullish,1,2019-07-08,2019-07-09,2019-07-15,2019-07-12,2019-07-15,25.59,24.8223,3780.5,102384.08,147.7335,-0.03,-113.43,0.9946,Low,Bull,0.01,0.0,0.02,0.01,-0.03,-0.030004,6,3,6,stop_loss
PCG,Bullish,1,2019-07-08,2019-07-09,2019-07-10,2019-07-12,2019-07-10,21.69,21.0393,2134.61,102384.01,98.4143,-0.03,-64.05,0.5781,Low,Bull,0.01,0.0,0.01,0.01,-0.03,-0.030004,1,3,1,stop_loss
SLB,Bullish,1,2019-07-08,2019-07-09,2019-07-16,2019-07-12,2019-07-16,39.78,40.07,4740.54,102384.06,119.169,0.00729,34.54,0.5952,Medium,Bull,0.02,0.0,0.02,0.02,0.00729,0.007287,7,3,7,expiry
CRH,Bullish,1,2019-07-15,2019-07-16,2019-07-23,2019-07-19,2019-07-23,33.53,33.01,4672.7,102289.13,139.3588,-0.015509,-72.56,0.5997,High,Bull,0.09,0.0,0.09,0.09,-0.015509,-0.015528,7,3,7,expiry
IP,Bullish,1,2019-07-15,2019-07-16,2019-07-23,2019-07-19,2019-07-23,40.1042,41.2216,4054.02,102289.16,101.0873,0.027863,112.93,0.6139,High,Bull,0.02,0.0,0.02,0.02,0.027863,0.027857,7,3,7,expiry
ORCL,Bullish,1,2019-07-15,2019-07-16,2019-07-23,2019-07-19,2019-07-23,59.17,57.45,4044.37,102289.21,68.3516,-0.029069,-117.57,0.7246,Medium,Bull,0.01,0.0,0.01,0.01,-0.029069,-0.029071,7,3,7,expiry
GEN,Bullish,1,2019-07-15,2019-07-16,2019-07-23,2019-07-19,2019-07-23,22.66,22.81,3689.91,102289.22,162.838,0.00662,24.41,0.7902,Low,Bull,0.01,0.0,0.01,0.01,0.00662,0.006616,7,3,7,expiry
SATS,Bullish,1,2019-07-15,2019-07-16,2019-07-23,2019-07-19,2019-07-23,36.7018,37.3258,8273.57,102289.42,225.427,0.017002,140.5,0.908,Medium,Bull,0.17,0.0,0.17,0.17,0.017002,0.016981,7,3,7,expiry
NFLX,Bullish,1,2019-07-15,2019-07-16,2019-07-18,2019-07-19,2019-07-18,37.009,35.8987,3368.61,102289.16,91.0215,-0.03,-101.06,0.6242,Medium,Bull,0.0,0.0,0.0,0.0,-0.03,-0.030001,2,3,2,stop_loss
WBD,Bullish,1,2019-07-15,2019-07-16,2019-07-18,2019-07-19,2019-07-18,32.44,31.4668,4400.99,102289.25,135.6657,-0.03,-132.06,0.8988,Medium,Bull,0.03,0.0,0.03,0.03,-0.03,-0.030006,2,3,2,stop_loss
MU,Bullish,1,2019-07-15,2019-07-16,2019-07-17,2019-07-19,2019-07-17,44.05,42.7285,2742.99,102289.17,62.27,-0.03,-82.29,0.6557,Low,Bull,0.0,0.0,0.0,0.0,-0.03,-0.030001,1,3,1,stop_loss
CCL,Bullish,1,2019-07-15,2019-07-16,2019-07-19,2019-07-19,2019-07-19,46.71,45.3087,7228.72,102289.2,154.7574,-0.03,-216.9,0.6989,Medium,Bull,0.04,0.0,0.04,0.04,-0.03,-0.030005,3,3,3,stop_loss
PSKY,Bullish,1,2019-07-22,2019-07-23,2019-07-30,2019-07-26,2019-07-30,50.14,52.54,5341.11,101838.36,106.524,0.047866,255.62,0.5463,Medium,Bull,0.04,0.0,0.04,0.04,0.047866,0.047859,7,3,7,expiry
NFLX,Bullish,1,2019-07-22,2019-07-23,2019-07-30,2019-07-26,2019-07-30,31.144,32.593,3608.62,101838.29,115.8689,0.046526,167.89,0.4698,Low,Bull,0.0,0.0,0.0,0.0,0.046526,0.046524,7,3,7,expiry
BSX,Bullish,1,2019-07-22,2019-07-23,2019-07-30,2019-07-26,2019-07-30,42.7,42.86,6378.09,101838.32,149.3698,0.003747,23.87,-0.4932,High,Bull,0.03,0.0,0.03,0.03,0.003747,0.003742,7,3,7,expiry
SLB,Bullish,1,2019-07-22,2019-07-23,2019-07-30,2019-07-26,2019-07-30,39.55,39.55,4391.7,101838.38,111.0416,0.0,-0.02,0.5564,High,Bull,0.02,0.0,0.02,0.02,0.0,-4e-06,7,3,7,expiry
MU,Bullish,1,2019-07-22,2019-07-23,2019-07-30,2019-07-26,2019-07-30,46.78,47.46,2650.35,101844.78,56.6556,0.014536,38.52,0.6164,Low,Bull,0.0,0.0,0.0,0.0,0.014536,0.014535,7,3,7,expiry
SW,Bullish,1,2019-07-22,2019-07-23,2019-07-30,2019-07-26,2019-07-30,31.67,32.83,7785.48,101844.76,245.8312,0.036628,278.77,0.5609,Medium,Bull,6.39,0.0,6.39,6.39,0.036628,0.035807,7,3,7,expiry
BMY,Bullish,1,2019-07-22,2019-07-23,2019-07-30,2019-07-26,2019-07-30,42.81,44.56,6269.42,101844.8,146.4477,0.040878,256.26,0.6221,Medium,Bull,0.02,0.0,0.02,0.02,0.040878,0.040875,7,3,7,expiry
