ticker,signal,direction,signal_date,entry_date,exit_date,planned_exit_date,actual_exit_date,entry_price,exit_price,position_size,entry_book_equity,shares,return,pnl,adjusted_score,confidence,regime,entry_cost,exit_cost,total_cost,impact_entry_cost,gross_return,net_return,holding_days,planned_holding_days,actual_holding_days,exit_reason
GLW,Bullish,1,2018-08-13,2018-09-17,2018-09-26,2018-08-17,2018-09-26,35.27,35.4,3129.72,105678.07,88.736,0.003686,11.52,0.5399,Low,Bull,0.01,0.0,0.01,0.01,0.003686,0.003681,9,-31,9,expiry
USB,Bullish,1,2018-08-20,2018-09-18,2018-09-26,2018-08-24,2018-09-26,54.17,53.61,6571.22,105248.95,121.3074,-0.010338,-67.97,-0.5398,High,Bull,0.03,0.0,0.03,0.03,-0.010338,-0.010343,8,-25,8,expiry
NEM,Bullish,1,2018-09-18,2018-09-19,2018-09-26,2018-09-24,2018-09-26,31.21,29.87,4598.73,105374.07,147.3479,-0.042935,-197.47,-0.5839,Medium,Bull,0.02,0.0,0.02,0.02,-0.042935,-0.04294,7,5,7,expiry
AAPL,Bullish,1,2018-09-18,2018-09-19,2018-09-26,2018-09-24,2018-09-26,54.625,55.105,4336.75,105374.12,79.3912,0.008787,38.1,0.6281,Medium,Bull,0.0,0.0,0.0,0.0,0.008787,0.008786,7,5,7,expiry
NKE,Bullish,1,2018-09-18,2018-09-19,2018-09-26,2018-09-24,2018-09-26,85.69,83.7,4976.95,105374.05,58.0808,-0.023223,-115.6,-0.5826,High,Bull,0.02,0.0,0.02,0.01,-0.023223,-0.023226,7,5,7,expiry
IP,Bullish,1,2018-09-18,2018-09-19,2018-09-24,2018-09-24,2018-09-24,51.0227,49.492,5554.64,105374.03,108.8661,-0.03,-166.68,-0.5393,High,Bull,0.04,0.0,0.04,0.04,-0.03,-0.030007,5,5,5,stop_loss
BKR,Bullish,1,2018-09-18,2018-09-19,2018-09-26,2018-09-24,2018-09-26,32.47,33.82,4612.08,105374.16,142.0411,0.041577,191.72,0.687,Medium,Bull,0.03,0.0,0.03,0.03,0.041577,0.041569,7,5,7,expiry
BMY,Bullish,1,2018-09-18,2018-09-19,2018-09-26,2018-09-24,2018-09-26,61.54,61.62,8239.99,105374.12,133.8966,0.0013,10.67,-0.595,High,Bull,0.05,0.0,0.05,0.05,0.0013,0.001294,7,5,7,expiry
WY,Bullish,1,2018-08-20,2018-09-24,2018-10-01,2018-08-24,2018-10-01,32.98,31.9906,6704.04,105884.19,203.2758,-0.03,-201.17,-0.5308,High,Bull,0.05,0.0,0.05,0.05,-0.03,-0.030008,7,-31,7,stop_loss
SO,Bullish,1,2018-09-25,2018-09-26,2018-10-03,2018-10-01,2018-10-03,42.88,42.79,10488.57,104885.65,244.6027,-0.002099,-22.07,0.5391,Medium,Bull,0.06,0.0,0.06,0.06,-0.002099,-0.002105,7,5,7,expiry
