regime,n_trades,n_days,pearson_ic,spearman_ic,mean_return,sharpe,win_rate,avg_score,score_std
Bull,5611,2166,0.015315547572266797,-0.007220482566156001,0.0020251525574763863,1.1629798659100796,0.49670290500801995,2.5740911602209944,1.6595913486445448
Bear,689,271,0.03964401421014637,-0.024374202487817766,0.003297486211901306,1.497745649633854,0.45428156748911463,1.934101015965167,1.9000565819333868
Sideways,573,209,0.10829678769291723,-0.012324622599108985,0.0024301343804537514,1.91339382655985,0.44153577661431065,2.864415357766143,2.261678170688907
Crisis,147,143,-0.1766633107700817,-0.18286017992542322,0.017381367346938778,2.841729573871203,0.6122448979591837,1.523878231292517,1.260970716720649
