date,window_trades,pearson_ic,spearman_ic,window_return
2013-01-11,20,-0.3119422619346019,-0.2587439069779487,0.010677099999999998
2013-01-14,20,-0.277077982264747,-0.18653630503061416,0.010677100000000002
2013-01-15,20,-0.32805083039198946,-0.24445281909253871,0.009456700000000002
2013-01-15,20,-0.4003804003654617,-0.37608126014236726,0.0109776
2013-01-15,20,-0.428465517929987,-0.47010157517795903,0.0135435
2013-01-15,20,-0.3849971774886806,-0.3644582446409712,0.01300405
2013-01-15,20,-0.3770611535328953,-0.3539160640108605,0.012670200000000001
2013-01-15,20,-0.3737154144409793,-0.3358437543592421,0.01218705
2013-01-15,20,-0.3287981497691311,-0.25150630931835616,0.0098924
2013-01-16,20,-0.2997170980128374,-0.24397618029684848,0.008801650000000001
2013-01-16,20,-0.29579096293686596,-0.21536169001511937,0.011738750000000001
2013-01-17,20,-0.35804063260071683,-0.3237955479248298,0.010550550000000002
2013-01-17,20,-0.3354060432128543,-0.2575304125355623,0.01125505
2013-01-18,20,-0.3532836355695679,-0.28765092862159297,0.013179850000000002
2013-01-18,20,-0.37432456128487357,-0.352410038206559,0.013700849999999997
2013-01-22,20,-0.35100117629060207,-0.2816268254043868,0.01465155
2013-01-22,20,-0.36710699779393013,-0.27560272218718074,0.0112379
2013-01-22,20,-0.35929530802966464,-0.23644605127534085,0.011336700000000002
2013-01-23,20,-0.07186263470647622,-0.11508086560356438,0.013415050000000001
2013-01-24,20,-0.01190316410622563,-0.04738623877793827,0.0146289
2013-01-24,20,0.05895613098494037,0.07145543942704978,0.0146396
2013-01-24,20,0.21587549135994033,0.29774436090225564,0.01531095
2013-01-24,20,0.23312561598682469,0.37744360902255636,0.0161039
2013-01-25,20,0.14898048191053587,0.16397142942207213,0.01200095
2013-01-25,20,0.2861818952237278,0.2384355189302608,0.0112772
2013-01-28,20,0.2851478677699317,0.2992481203007519,0.01423815
2013-01-28,20,0.28824958402222217,0.2706766917293233,0.014043400000000001
2013-01-29,20,0.28870297536716605,0.24812030075187969,0.01332505
2013-01-29,20,0.25188141311618584,0.1609022556390977,0.012053350000000001
2013-01-29,20,0.06286983839893365,0.14586466165413534,0.0123078
2013-01-29,20,0.10391623666710292,0.17744360902255638,0.011149599999999999
2013-01-31,20,0.08601490544315099,0.13984962406015036,0.0120239
2013-01-31,20,0.36791405989878473,0.22105263157894736,0.013457350000000002
2013-01-31,20,0.3931549687568744,0.2556390977443609,0.012761400000000001
2013-02-01,20,0.43904320191871954,0.1894736842105263,0.010299699999999998
2013-02-01,20,0.4330534966197396,0.15939849624060148,0.00925745
2013-02-04,20,0.4228268390547937,0.07969924812030074,0.0107733
2013-02-05,20,0.40080639032922755,0.07518796992481201,0.0117104
2013-02-05,20,0.4043483631867525,0.0706766917293233,0.01120015
2013-02-05,20,0.4036447877725178,0.1518796992481203,0.01160185
2013-02-05,20,0.39590497352569093,0.13383458646616542,0.012335349999999998
2013-02-05,20,0.26370230009669465,0.016541353383458645,0.0167804
2013-02-05,20,0.26699995031313606,0.04360902255639097,0.0166035
