top_percentile,variant,sharpe_ratio,cagr,annualised_turnover,total_trades,trades_reduction
,baseline,0.6315720656609213,0.03604349252515027,28.22754649599291,1325,0.0
0.1,top_10pct,1.1983078922615622,0.023956541144592558,12.188193354548558,566,0.5728301886792453
0.15,top_15pct,1.1780074940962069,0.02378913485814471,12.06931207160042,568,0.5713207547169812
0.2,top_20pct,1.0384747425079475,0.022694299581097033,13.337820632351594,610,0.539622641509434
