smoothing_span,sharpe_ratio,cagr,total_return,annualised_turnover,trades_per_year,total_trades,max_drawdown,win_rate,final_capital,optimal
3,0.537181719301054,0.033155525209315195,0.21611550000000002,100.00768668803676,483.8,2939,-0.1901852943577547,0.4865600544402858,121611.55,True
5,0.5038996476507738,0.03135141652759588,0.20343229999999995,100.3065387774396,486.6,2956,-0.1984987706842812,0.4851150202976996,120343.23,False
10,0.5098277760370552,0.029196831337457763,0.18842979999999995,101.37568209663429,491.7,2987,-0.20250608483270935,0.48577167726816206,118842.98,False
