cost_bps,cost_scenario,annual_turnover,annual_cost_drag_pct,annual_return_after_costs,sharpe_estimate,final_capital_estimate,max_dd_estimate,profitable
5,optimal,11.152857142857144,0.5576428571428572,10.65789559056756,0.9519525907405327,306742.2103126288,11.405856998057605,Yes
7,current,11.152857142857144,0.7807000000000001,10.434838447710417,0.9320293494944877,299968.08691433346,11.605856998057606,Yes
10,conservative,11.152857142857144,1.1152857142857144,10.100252733424702,0.9021444876254198,290061.793418588,11.905856998057605,Yes
15,stress,11.152857142857144,1.6729285714285718,9.542609876281844,0.8523363845103069,274210.58168238157,12.405856998057605,Yes
20,extreme,11.152857142857144,2.230571428571429,8.984967019138987,0.802528281395194,259151.26354829344,12.905856998057605,Yes
