slippage_bps,commission_per_trade,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,total_pnl,profit_factor,sortino_ratio,calmar_ratio,final_capital,total_transaction_costs
0,0.0,0.02245320000000007,0.025171638513504024,-0.11779456479597089,0.5133689839572193,561,2245.41,1.0224681718160085,0.024577175535034204,0.09144189915482184,102245.32,10.75
2,0.5,-0.00485679999999993,-0.01389620668996696,-0.1180684797752316,0.5098039215686274,561,-485.59,0.9951477445290843,-0.013559318002682329,-0.019872722778517843,99514.32,571.53
5,1.0,-0.04196199999999997,-0.0725093720903243,-0.1353639491373787,0.5062388591800356,561,-4196.21,0.9581482379853753,-0.07055184173046666,-0.1512304501832155,95803.8,1132.17
10,2.0,-0.10304970000000001,-0.17025471977954001,-0.17420865191625992,0.49554367201426025,561,-10305.0,0.8975590116755886,-0.16564727119420072,-0.29344616296038273,89695.03,2253.73
15,3.0,-0.17970179999999994,-0.3151521655228314,-0.218818112094746,0.48175182481751827,548,-17970.16,0.8210236836244803,-0.3066244161757404,-0.41656130905093375,82029.82,3297.21
20,5.0,-0.1994061,-0.4072236769730005,-0.20702595469997753,0.4638009049773756,442,-19940.6,0.7615683404806871,-0.40296535770233394,-0.4914890980318576,80059.39,4427.18
30,10.0,-0.1999219,-0.582663910685407,-0.20976808691329835,0.453125,256,-19992.21,0.6640379717799566,-0.5722506379487493,-0.48639560273940025,80007.81,5123.81
